index,user_id,clicks__n_total,clicks__avg_scrollY,clicks__session_gap_cv,clicks__scroll_depth_max,heartbeat__n_total,heartbeat__avg_idle_time,heartbeat__scroll_depth_max,heartbeat__avg_scrollY,q__n_questions_viewed,q__n_unique_urls,q__maj_track,q__n_unique_courses,q__avg_question_number,q__n_active_days,q__revisit_rate,media__n_play_events,media__n_unique_media,media__total_watch_min,media__n_unique_urls,media__media_type_diversity,media__audio_pct,media__completion_rate,label,unique_math_qids,unique_text_qids,unique_quiz_qids,content_entropy,ts__q_bin1,ts__q_bin2,ts__q_bin3,ts__q_trend,ts__q_recency,ts__pv_bin1,ts__pv_bin2,ts__pv_bin3,ts__pv_trend,ts__pv_recency,ts__score_first,ts__score_last,ts__score_delta
1176,6429,3966.0,0.0,10.270522489536445,0.0,46025,1765235645.7927847,0.0,0.0,430.0,23.0,1.0,2.0,,35.0,0.9976744186046511,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,0.0,142.0,162.0,1.1305686466866436,34.0,46.0,47.0,13.0,0.3700787401574803,200.0,200.0,106.0,-94.0,0.20948616600790515,,,
1179,6432,503.0,0.0,9.075956504904308,0.0,4896,1766061330.4405231,0.0,0.0,41.0,6.0,0.0,2.0,,3.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0,20.0,26.0,46.0,1.1864633821718713,0.0,13.0,0.0,0.0,0.0,38.0,35.0,23.0,-15.0,0.23958333333333334,,,
1180,6433,1294.0,0.0,9.649409119792994,0.0,7913,1766303574.7867098,0.0,0.0,39.0,7.0,0.0,1.0,,6.0,0.9743589743589743,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,0.0,37.0,0.6168511235614237,5.0,0.0,0.0,-5.0,0.0,35.0,23.0,25.0,-10.0,0.30120481927710846,,,
1181,6434,633.0,0.0,14.62075914383968,0.0,5518,1761239757.870244,0.0,0.0,67.0,5.0,0.0,1.0,0.0,8.0,0.9701492537313433,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1,0.0,0.0,39.0,0.9064960594405433,,,,,,0.0,0.0,21.0,21.0,1.0,,,
1182,6435,96.0,0.0,5.398809246549118,0.0,2719,1763040729.644335,0.0,0.0,,,,,,,,,,,,,,,0,0.0,0.0,19.0,1.0949143184120975,,,,,,4.0,0.0,0.0,-4.0,0.0,,,
1183,6437,2964.0,0.0,8.461788079236054,0.0,18701,1764641900.2056158,0.0,0.0,413.0,24.0,1.0,2.0,,17.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,164.0,206.0,1.316925114654989,0.0,32.0,59.0,59.0,0.6483516483516484,26.0,87.0,65.0,39.0,0.3651685393258427,,,
1187,6441,2643.0,0.0,9.530216572984637,0.0,35403,1766437217.8560305,0.0,0.0,193.0,22.0,1.0,2.0,,16.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0,54.0,22.0,124.0,1.0922974764639493,0.0,4.0,0.0,0.0,0.0,161.0,114.0,113.0,-48.0,0.2912371134020619,,,
1189,6443,947.0,0.0,10.159965900328618,0.0,12694,1763983250.1570232,0.0,0.0,120.0,6.0,1.0,1.0,,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,60.0,21.0,1.3111956859773648,,,,,,26.0,9.0,5.0,-21.0,0.125,,,
1196,6452,919.0,0.0,9.567744318205385,0.0,4783,1765145149.6614192,0.0,0.0,187.0,11.0,1.0,1.0,,8.0,1.0,,,,,,,,0,0.0,63.0,100.0,1.2827916906657246,,,,,,8.0,22.0,0.0,-8.0,0.0,,,
1200,6461,211.0,0.0,7.113652060729673,0.0,1892,1767932740.7815154,0.0,0.0,,,,,,,,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,0.0,0.0,40.0,-0.0,,,,,,23.0,24.0,28.0,5.0,0.37333333333333335,,,
1222,6487,2181.0,0.0,12.609607979508707,0.0,13522,1764262870.687087,0.0,0.0,265.0,22.0,1.0,2.0,,12.0,0.9962264150943396,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1,0.0,0.0,179.0,0.8154733855511704,,,,,,79.0,66.0,4.0,-75.0,0.026845637583892617,,,
1230,6495,3622.0,0.0,11.84793224157212,0.0,12616,1764674445.6772952,0.0,0.0,360.0,33.0,1.0,2.0,,16.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0,28.0,0.0,277.0,0.7165425781461027,10.0,0.0,1.0,-9.0,0.09090909090909091,117.0,168.0,56.0,-61.0,0.16422287390029325,,,
1233,6498,6857.0,0.0,10.420110312210912,0.0,71986,1766191099.8696666,0.0,0.0,608.0,30.0,1.0,2.0,,42.0,0.9983552631578947,0.0,1.0,0.0,19.0,1.0,0.0,0.0,0,0.0,19.0,257.0,0.8588415786351064,73.0,1.0,0.0,-73.0,0.0,191.0,54.0,85.0,-106.0,0.25757575757575757,,,
